date,states,positive,negative,hospitalizedCurrently,inIcuCurrently,onVentilatorCurrently,death,positiveIncrease,negativeIncrease,deathIncrease,totalTestResults,totalTestResultsIncrease
20210307,56,28756489.0,74582825.0,40199.0,8134.0,2802.0,515151.0,41835,131835,842,363825123,1170059
20210306,56,28714654.0,74450990.0,41401.0,8409.0,2811.0,514309.0,60015,143835,1680,362655064,1430992
20210305,56,28654639.0,74307155.0,42541.0,8634.0,2889.0,512629.0,68787,271917,2221,361224072,1744417
20210304,56,28585852.0,74035238.0,44172.0,8970.0,2973.0,510408.0,65487,177957,1743,359479655,1590984
20210303,56,28520365.0,73857281.0,45462.0,9359.0,3094.0,508665.0,66836,267001,2449,357888671,1406795
20210302,56,28453529.0,73590280.0,46388.0,9465.0,3169.0,506216.0,54248,255779,1728,356481876,1343519
20210301,56,28399281.0,73334501.0,46738.0,9595.0,3171.0,504488.0,48092,118077,1241,355138357,1154440
20210228,56,28351189.0,73216424.0,47352.0,9802.0,3245.0,503247.0,54349,203599,1051,353983917,1408422
20210227,56,28296840.0,73012825.0,48871.0,10114.0,3335.0,502196.0,71245,205090,1847,352575495,1655179
20210226,56,28225595.0,72807735.0,51112.0,10466.0,3466.0,500349.0,74857,276829,2141,350920316,1803309
20210225,56,28150738.0,72530906.0,52669.0,10846.0,3567.0,498208.0,75565,272209,3138,349117007,1826144
20210224,56,28075173.0,72258697.0,54118.0,11026.0,3685.0,495070.0,73258,245318,2447,347290863,1450666
20210223,56,28001915.0,72013379.0,55058.0,11272.0,3755.0,492623.0,69105,225267,2241,345840197,1193835
20210222,56,27932810.0,71788112.0,55403.0,11536.0,3804.0,490382.0,52530,123611,1235,344646362,1201247
20210221,56,27880280.0,71664501.0,56159.0,11862.0,3915.0,489147.0,58702,156778,1287,343445115,1232995
20210220,56,27821578.0,71507723.0,58222.0,12120.0,3932.0,487860.0,72354,141790,2160,342212120,1290481
20210219,56,27749224.0,71365933.0,59882.0,12491.0,4118.0,485700.0,74676,224755,2477,340921639,1878033
20210218,56,27674548.0,71141178.0,62224.0,13036.0,4180.0,483223.0,66824,218491,2616,339043606,1345849
20210217,56,27607724.0,70922687.0,63329.0,13094.0,4271.0,480607.0,66839,233666,2348,337697757,1298421
20210216,56,27540885.0,70689021.0,64457.0,13607.0,4415.0,478259.0,56312,101102,1353,336399336,1053698
