edition,report_type,measure_name,state_name,rank,value,score,lower_CI,upper_CI,source
2022,2022 Senior,Able-bodied,Alaska,32.0,66.2,-0.09,69.5,62.9,AHR data
2022,2022 Senior,Able-bodied,Alabama,44.0,61.7,-1.48,62.7,60.7,AHR data
2022,2022 Senior,Able-bodied,Arkansas,49.0,58.8,-2.0,60.2,57.4,AHR data
2022,2022 Senior,Able-bodied,Arizona,22.0,67.0,0.15,67.8,66.2,AHR data
2022,2022 Senior,Able-bodied,California,28.0,66.5,0.0,66.9,66.1,AHR data
2022,2022 Senior,Able-bodied,Colorado,5.0,69.9,1.05,70.7,69.1,AHR data
2022,2022 Senior,Able-bodied,Connecticut,3.0,70.2,1.14,71.4,69.0,AHR data
2022,2022 Senior,Able-bodied,Delaware,10.0,69.0,0.77,71.0,67.0,AHR data
2022,2022 Senior,Able-bodied,Florida,18.0,67.6,0.34,68.1,67.1,AHR data
2022,2022 Senior,Able-bodied,Georgia,38.0,65.1,-0.43,65.9,64.3,AHR data
2022,2022 Senior,Able-bodied,Hawaii,28.0,66.5,0.0,68.3,64.7,AHR data
2022,2022 Senior,Able-bodied,Iowa,11.0,68.9,0.74,70.0,67.8,AHR data
2022,2022 Senior,Able-bodied,Idaho,37.0,65.4,-0.34,67.1,63.7,AHR data
2022,2022 Senior,Able-bodied,Illinois,14.0,68.3,0.56,69.0,67.6,AHR data
2022,2022 Senior,Able-bodied,Indiana,35.0,65.9,-0.19,66.6,65.2,AHR data
2022,2022 Senior,Able-bodied,Kansas,30.0,66.4,-0.03,67.5,65.3,AHR data
2022,2022 Senior,Able-bodied,Kentucky,46.0,60.7,-1.79,61.9,59.5,AHR data
2022,2022 Senior,Able-bodied,Louisiana,45.0,61.4,-1.58,62.7,60.1,AHR data
2022,2022 Senior,Able-bodied,Massachusetts,8.0,69.2,0.83,70.0,68.4,AHR data
2022,2022 Senior,Able-bodied,Maryland,7.0,69.7,0.99,70.5,68.9,AHR data
2022,2022 Senior,Able-bodied,Maine,24.0,66.7,0.06,68.1,65.3,AHR data
2022,2022 Senior,Able-bodied,Michigan,24.0,66.7,0.06,67.2,66.2,AHR data
2022,2022 Senior,Able-bodied,Minnesota,2.0,70.8,1.33,71.5,70.1,AHR data
2022,2022 Senior,Able-bodied,Missouri,40.0,64.5,-0.62,65.5,63.5,AHR data
2022,2022 Senior,Able-bodied,Mississippi,47.0,59.1,-2.0,60.5,57.7,AHR data
2022,2022 Senior,Able-bodied,Montana,24.0,66.7,0.06,68.6,64.8,AHR data
2022,2022 Senior,Able-bodied,North Carolina,31.0,66.3,-0.06,67.0,65.6,AHR data
2022,2022 Senior,Able-bodied,North Dakota,23.0,66.8,0.09,69.4,64.2,AHR data
2022,2022 Senior,Able-bodied,Nebraska,16.0,67.8,0.4,69.2,66.4,AHR data
2022,2022 Senior,Able-bodied,New Hampshire,9.0,69.1,0.8,71.0,67.2,AHR data
2022,2022 Senior,Able-bodied,New Jersey,1.0,71.0,1.39,71.8,70.2,AHR data
2022,2022 Senior,Able-bodied,New Mexico,42.0,62.7,-1.17,64.1,61.3,AHR data
2022,2022 Senior,Able-bodied,Nevada,36.0,65.6,-0.28,66.9,64.3,AHR data
2022,2022 Senior,Able-bodied,New York,13.0,68.5,0.62,69.0,68.0,AHR data
2022,2022 Senior,Able-bodied,Ohio,24.0,66.7,0.06,67.3,66.1,AHR data
2022,2022 Senior,Able-bodied,Oklahoma,48.0,59.0,-2.0,60.0,58.0,AHR data
2022,2022 Senior,Able-bodied,Oregon,38.0,65.1,-0.43,66.2,64.0,AHR data
2022,2022 Senior,Able-bodied,Pennsylvania,16.0,67.8,0.4,68.3,67.3,AHR data
2022,2022 Senior,Able-bodied,Rhode Island,4.0,70.0,1.08,72.4,67.6,AHR data
2022,2022 Senior,Able-bodied,South Carolina,34.0,66.0,-0.15,67.1,64.9,AHR data
2022,2022 Senior,Able-bodied,South Dakota,20.0,67.5,0.31,69.5,65.5,AHR data
2022,2022 Senior,Able-bodied,Tennessee,43.0,62.1,-1.36,63.1,61.1,AHR data
2022,2022 Senior,Able-bodied,Texas,41.0,64.2,-0.71,64.7,63.7,AHR data
2022,2022 Senior,Able-bodied,Utah,12.0,68.8,0.71,70.3,67.3,AHR data
2022,2022 Senior,Able-bodied,Virginia,21.0,67.4,0.28,68.4,66.4,AHR data
2022,2022 Senior,Able-bodied,Vermont,14.0,68.3,0.56,70.6,66.0,AHR data
2022,2022 Senior,Able-bodied,Washington,33.0,66.1,-0.12,66.9,65.3,AHR data
2022,2022 Senior,Able-bodied,Wisconsin,5.0,69.9,1.05,70.7,69.1,AHR data
2022,2022 Senior,Able-bodied,West Virginia,50.0,58.4,-2.0,60.1,56.7,AHR data
2022,2022 Senior,Able-bodied,Wyoming,18.0,67.6,0.34,70.6,64.6,AHR data
2022,2022 Senior,Access to Care - Senior,Alaska,38.0,-0.557,-0.557,,,AHR data
